trip_id,dist_km,duration_min,avg_speed_kph,max_speed_kph,avg_slope_deg,max_slope_deg,elev_gain_m,regen_fraction,energy_kWh,efficiency_kWh_100km,physics_pred_kWh,residual_kWh,speed_tier
0,6.695,15.95,27.128,73.3,1.545,9.1056,0.0,0.4073,2.23616,33.402,2.29162,-0.05545,urban
30,4.913,10.93,30.826,83.03,1.5754,9.085,0.0,0.3804,1.86159,37.891,1.92257,-0.06099,mixed
73,0.772,2.2,28.796,74.34,1.3421,10.2211,0.0,0.3619,0.35653,46.198,0.39841,-0.04188,urban
114,2.385,4.42,35.456,74.21,1.7842,12.2041,0.0,0.3792,0.95924,40.222,1.05723,-0.09799,mixed
141,3.066,6.13,33.057,74.64,1.4345,8.5834,0.0,0.4062,1.1885,38.761,1.2951,-0.1066,mixed
209,1.027,2.17,31.62,70.99,1.4225,9.4455,0.0,0.427,0.33966,33.079,0.383,-0.04333,mixed
241,10.385,17.65,39.98,89.49,1.665,8.7516,0.0,0.3634,4.51614,43.489,4.72269,-0.20655,mixed
277,10.119,13.52,47.566,89.03,2.4182,15.328,0.0,0.4393,2.98856,29.535,3.76209,-0.77354,mixed
311,17.166,24.92,46.683,89.3,2.11,13.3859,0.0,0.4144,5.83941,34.017,6.3412,-0.50179,mixed
368,3.534,6.03,36.337,69.97,1.708,8.1655,0.0,0.3874,1.45171,41.077,1.42063,0.03108,mixed
389,10.934,16.22,46.256,89.43,2.2075,14.0829,0.0,0.41,2.89527,26.479,3.54771,-0.65244,mixed
421,30.779,45.63,44.727,89.86,2.2017,15.8198,0.0,0.4046,10.45689,33.974,11.7859,-1.32901,mixed
450,23.502,38.78,40.208,96.79,1.782,12.6761,0.0,0.3766,8.1071,34.496,8.38382,-0.27672,mixed
508,36.739,47.12,52.56,99.08,2.4601,14.9401,297.1,0.4007,11.50229,31.308,13.23524,-1.73295,mixed
550,0.857,3.57,20.859,66.47,0.9427,7.8855,0.0,0.369,0.2182,25.45,0.28386,-0.06566,urban
631,8.712,27.77,22.722,61.69,1.9157,12.204,0.0,0.3288,3.86663,44.381,3.9155,-0.04887,urban
671,1.412,6.9,14.92,47.61,1.829,10.2211,0.0,0.4798,-0.06443,-4.564,0.14037,-0.2048,urban
708,3.074,8.18,25.105,56.21,2.6232,12.2039,0.0,0.2442,1.80561,58.746,1.55945,0.24616,urban
785,0.815,4.0,13.998,27.41,2.3727,9.7591,0.0,0.5238,-0.15738,-19.3,-0.01621,-0.14118,urban
807,1.539,6.1,17.987,52.54,1.2558,8.6253,0.0,0.4152,0.21135,13.731,0.31153,-0.10018,urban
897,3.035,10.43,21.902,63.23,1.9155,17.9745,0.0,0.2642,1.80331,59.425,1.62978,0.17353,urban
941,5.867,22.9,18.413,54.13,1.9059,17.9745,0.0,0.3812,1.77477,30.249,1.96367,-0.18891,urban
975,3.66,9.08,28.412,77.25,2.1707,10.4951,0.0,0.3202,1.93762,52.941,1.85118,0.08645,urban
1053,14.824,51.43,20.827,79.71,1.9978,17.9745,0.0,0.3602,4.79614,32.354,5.82942,-1.03328,urban
1077,7.77,12.58,39.799,81.02,2.3434,14.9488,0.0,0.3113,5.42759,69.852,4.9608,0.46679,mixed
1161,4.06,4.85,56.517,87.34,2.7523,9.9537,0.0,0.4706,0.5993,14.76,0.96995,-0.37065,mixed
1206,11.897,15.27,50.437,86.93,2.4003,13.485,0.0,0.338,6.33557,53.255,6.00818,0.32739,mixed
1230,3.75,9.35,27.803,68.6,1.0296,7.8854,0.0,0.2974,1.11374,29.696,1.10323,0.01051,urban
1255,4.972,5.7,53.188,75.39,3.4615,17.1305,0.0,0.2116,4.53758,91.267,4.024,0.51358,mixed
1278,1.29,1.43,54.392,71.26,2.9994,8.0134,0.0,0.6071,0.09047,7.012,0.20031,-0.10984,mixed
1307,1.847,2.85,46.169,78.23,2.0675,11.7353,0.0,0.4492,0.03063,1.658,0.19282,-0.16219,mixed
1330,17.442,32.32,37.668,82.06,1.7737,17.942,0.0,0.3475,8.13094,46.616,8.00476,0.12618,mixed
1380,5.393,11.85,31.899,61.02,1.3597,8.585,0.0,0.4295,1.28789,23.883,1.50406,-0.21618,mixed
1465,1.786,3.18,39.698,65.39,1.1273,7.4651,0.0,0.3466,0.85537,47.88,0.81696,0.03841,mixed
1498,9.065,11.88,50.764,82.38,2.7417,13.9798,0.0,0.3369,5.38535,59.409,5.31075,0.0746,mixed
1587,3.728,5.07,44.682,83.75,1.8403,8.7169,0.0,0.4429,1.26529,33.94,1.40484,-0.13955,mixed
1621,0.58,2.05,17.386,39.69,3.0171,12.2009,0.0,0.3421,0.44788,77.22,0.44057,0.00731,urban
1681,0.914,2.07,26.649,53.89,4.1953,10.9989,0.0,0.6348,-0.16556,-18.113,0.12927,-0.29483,urban
1715,11.061,20.08,37.004,75.17,1.9451,14.0435,0.0,0.3337,6.00581,54.3,5.65899,0.34682,mixed
1751,0.915,5.25,13.423,28.82,0.6098,5.2751,0.0,0.336,0.28389,31.037,0.27163,0.01225,urban
1810,13.864,22.18,41.59,84.8,1.9199,13.4153,0.0,0.3353,7.09962,51.208,6.68394,0.41568,mixed
1837,2.411,5.05,38.882,84.01,1.3449,9.7152,0.0,0.3832,0.3436,14.251,0.54832,-0.20472,mixed
1859,5.894,13.25,31.697,84.12,1.2861,7.388,0.0,0.3622,1.86749,31.686,2.11496,-0.24747,mixed
1893,43.747,71.48,43.036,97.17,1.8917,16.8471,0.0,0.3486,20.99024,47.981,20.97171,0.01853,mixed
1915,4.749,8.7,39.903,85.14,1.8293,11.7354,0.0,0.3623,1.33512,28.114,1.59879,-0.26367,mixed
1976,15.034,15.77,62.53,100.95,1.9879,10.823,0.0,0.3742,6.02488,40.074,5.791,0.23388,mixed
2009,4.375,10.15,29.403,62.12,1.1969,7.8908,0.0,0.4132,1.17162,26.783,1.2787,-0.10708,urban
2031,7.349,9.17,63.479,103.9,1.4739,8.9963,0.0,0.3065,3.10708,42.28,2.8978,0.20928,mixed
2054,8.352,7.9,70.38,104.18,2.065,9.5741,0.0,0.3375,3.3785,40.453,3.19731,0.1812,highway
2101,2.692,4.33,40.626,69.02,1.3052,5.9859,0.0,0.4091,0.76053,28.251,0.7622,-0.00167,mixed
2124,2.782,7.87,26.27,61.19,0.9015,8.0489,0.0,0.3854,0.77166,27.738,0.91771,-0.14605,urban
2192,14.768,12.62,74.874,104.14,2.1417,9.8035,0.0,0.3454,6.17143,41.79,5.61854,0.55289,highway
2235,3.651,7.57,36.74,72.99,1.1769,12.2252,0.0,0.3498,1.04557,28.634,1.18119,-0.13561,mixed
2266,56.993,70.25,53.765,112.99,1.7476,10.5945,0.0,0.3625,20.99053,36.83,20.35353,0.637,mixed
2289,5.593,14.0,27.81,71.64,0.9837,7.7922,0.0,0.3922,1.57816,28.218,1.67221,-0.09406,urban
2317,19.433,26.17,49.419,99.47,1.6023,10.1896,0.0,0.4006,7.22031,37.155,6.97643,0.24388,mixed
2353,74.871,100.13,50.937,109.75,1.5826,17.9998,0.0,0.3613,28.82318,38.497,27.80784,1.01534,mixed
2382,3.159,4.27,49.694,80.88,2.0482,9.4808,0.0,0.4087,1.20312,38.083,1.29662,-0.0935,mixed
2419,2.045,7.05,23.176,50.17,0.833,5.1515,0.0,0.2792,0.71946,35.187,0.74233,-0.02287,urban
